Modelo,P@10,R@10,MRR@10,nDCG@10
bert-base-portuguese-cased-finetuned-tcu-acordaos_mean,0.044000000000000004,0.035426573426573425,0.17352380952380955,0.05601700648705675
bert-base-portuguese-cased-finetuned-tcu-acordaos_cls,0.07,0.05405561105561106,0.2062142857142857,0.07696235747785077
bert-base-portuguese-cased_mean,0.048,0.038036963036963044,0.18054761904761904,0.05979941261667176
bert-base-portuguese-cased_cls,0.034,0.025075924075924072,0.10211111111111108,0.037091875346302004
bert-large-portuguese-cased_mean,0.07400000000000001,0.06248185148185149,0.19876984126984126,0.08327467806681899
bert-large-portuguese-cased_cls,0.04,0.032802530802530795,0.153,0.04729420156399613
Legal-BERTimbau-sts-large-ma-v3_mean,0.10800000000000001,0.08803929403929404,0.2877460317460317,0.12137911748087127
Legal-BERTimbau-sts-large-ma-v3_cls,0.024000000000000004,0.01794272394272394,0.132,0.03845885305736393
bert-large-portuguese-cased-legal-mlm-sts-v1.0_mean,0.20199999999999999,0.16315118215118216,0.42399206349206353,0.2260921426722422
bert-large-portuguese-cased-legal-mlm-sts-v1.0_cls,0.12400000000000003,0.10223143523143524,0.2569444444444444,0.1357823631497707
bert-large-portuguese-cased-legal-mlm-nli-sts-v1_mean,0.17600000000000002,0.14391674991674994,0.39026984126984127,0.2028280082802044
bert-large-portuguese-cased-legal-mlm-nli-sts-v1_cls,0.15,0.12278354978354977,0.3926031746031746,0.17840027832656774
paraphrase-multilingual-mpnet-base-v2_mean,0.146,0.11637862137862137,0.35124603174603175,0.16081067142106142
paraphrase-multilingual-mpnet-base-v2_cls,0.098,0.07842757242757242,0.31933333333333336,0.11300561100769685
bm25_padrao,0.23800000000000002,0.19656909756909757,0.5386269841269841,0.27529822424527817
