Modelo,P@5,R@5,MRR@5,nDCG@5
bert-base-portuguese-cased-finetuned-tcu-acordaos_mean,0.29600000000000004,0.13329032079032077,0.5996666666666666,0.3392031006726436
bert-base-portuguese-cased-finetuned-tcu-acordaos_cls,0.16399999999999998,0.07289210789210789,0.3363333333333333,0.18230005350945866
bert-base-portuguese-cased_mean,0.26799999999999996,0.11947213897213896,0.5843333333333333,0.31633773291653955
bert-base-portuguese-cased_cls,0.08,0.03617482517482517,0.15666666666666665,0.0838413644451383
bert-large-portuguese-cased_mean,0.29600000000000004,0.13255139305139307,0.5983333333333334,0.32872752164688857
bert-large-portuguese-cased_cls,0.06000000000000001,0.027917249417249414,0.12833333333333333,0.060736667037131625
Legal-BERTimbau-sts-large-ma-v3_mean,0.236,0.10603113553113554,0.47233333333333327,0.2599390064954651
Legal-BERTimbau-sts-large-ma-v3_cls,0.136,0.061441724941724944,0.3486666666666666,0.16286265516630594
bert-large-portuguese-cased-legal-mlm-sts-v1.0_mean,0.468,0.20848967698967702,0.8646666666666667,0.5282911698458698
bert-large-portuguese-cased-legal-mlm-sts-v1.0_cls,0.4000000000000001,0.17649039849039852,0.7723333333333333,0.44811932557625395
bert-large-portuguese-cased-legal-mlm-nli-sts-v1_mean,0.43200000000000005,0.19136474636474637,0.7906666666666666,0.48444439130682965
bert-large-portuguese-cased-legal-mlm-nli-sts-v1_cls,0.36,0.16107525807525808,0.705,0.4134227337336542
paraphrase-multilingual-mpnet-base-v2_mean,0.496,0.21919613719613718,0.7823333333333332,0.5350545360560309
paraphrase-multilingual-mpnet-base-v2_cls,0.3439999999999999,0.15183549783549785,0.7313333333333333,0.4029209669758448
bm25_padrao,0.52,0.23401787101787103,0.915,0.6030062029006013
