Modelo,P@5,R@5,MRR@5,nDCG@5
bert-base-portuguese-cased-finetuned-tcu-acordaos_mean,0.14400000000000002,0.06094694194694195,0.35133333333333333,0.15216215672996403
bert-base-portuguese-cased-finetuned-tcu-acordaos_cls,0.09200000000000001,0.03784915084915085,0.23633333333333334,0.10074342642535371
bert-base-portuguese-cased_mean,0.12,0.04968431568431568,0.3073333333333333,0.12938619807966867
bert-base-portuguese-cased_cls,0.064,0.027057942057942055,0.16566666666666666,0.06751366182557225
bert-large-portuguese-cased_mean,0.19599999999999998,0.08375235875235874,0.39966666666666667,0.20514593136480194
bert-large-portuguese-cased_cls,0.028000000000000004,0.012144522144522146,0.05166666666666666,0.028234970572015006
Legal-BERTimbau-sts-large-ma-v3_mean,0.22400000000000003,0.09248817848817849,0.44966666666666666,0.23473867101808044
Legal-BERTimbau-sts-large-ma-v3_cls,0.128,0.05386491286491287,0.28966666666666663,0.1387457409876126
bert-large-portuguese-cased-legal-mlm-sts-v1.0_mean,0.41999999999999993,0.1726194916194916,0.7016666666666665,0.43969458518685706
bert-large-portuguese-cased-legal-mlm-sts-v1.0_cls,0.304,0.12281318681318681,0.5673333333333334,0.3203446692800931
bert-large-portuguese-cased-legal-mlm-nli-sts-v1_mean,0.348,0.14523376623376624,0.624,0.372904301037164
bert-large-portuguese-cased-legal-mlm-nli-sts-v1_cls,0.316,0.13193706293706295,0.5786666666666668,0.3448262249802129
paraphrase-multilingual-mpnet-base-v2_mean,0.33199999999999996,0.13453712953712954,0.595,0.34552631032981684
paraphrase-multilingual-mpnet-base-v2_cls,0.21600000000000003,0.08731468531468531,0.455,0.22640269809568758
bm25_padrao,0.5000000000000001,0.20771883671883676,0.8619999999999999,0.5712789256488999
