QUERY_KEY|QUERY_TEXT|DOC_KEY|ENGINE|RANK|SCORE
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-34240|SOLR_PESQUISA_ORIGINAL_select|1|9604.841
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20956|SOLR_PESQUISA_ORIGINAL_select|2|4098.7314
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-68513|SOLR_PESQUISA_ORIGINAL_select|3|1466.8152
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-39213|SOLR_PESQUISA_ORIGINAL_select|4|1150.822
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-51881|SOLR_PESQUISA_ORIGINAL_select|5|1126.376
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-21229|SOLR_PESQUISA_ORIGINAL_select|6|105.84739
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-21285|SOLR_PESQUISA_ORIGINAL_select|7|105.81553
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-21159|SOLR_PESQUISA_ORIGINAL_select|8|90.773636
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-3225|SOLR_PESQUISA_ORIGINAL_select|9|76.01387
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-34231|SOLR_PESQUISA_ORIGINAL_select|10|72.29905
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-18324|SOLR_PESQUISA_ORIGINAL_select|11|71.98622
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-53841|SOLR_PESQUISA_ORIGINAL_select|12|71.35231
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-17125|SOLR_PESQUISA_ORIGINAL_select|13|68.99652
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-18035|SOLR_PESQUISA_ORIGINAL_select|14|63.47647
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-21210|SOLR_PESQUISA_ORIGINAL_select|15|61.791004
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-14515|SOLR_PESQUISA_ORIGINAL_select|16|61.720497
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-14560|SOLR_PESQUISA_ORIGINAL_select|17|60.43758
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-22781|SOLR_PESQUISA_ORIGINAL_select|18|53.875004
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20870|SOLR_PESQUISA_ORIGINAL_select|19|53.636955
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20869|SOLR_PESQUISA_ORIGINAL_select|20|53.636955
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20969|SOLR_PESQUISA_ORIGINAL_select|21|53.636955
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20970|SOLR_PESQUISA_ORIGINAL_select|22|53.636955
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-34126|SOLR_PESQUISA_ORIGINAL_select|23|53.636955
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-34233|SOLR_PESQUISA_ORIGINAL_select|24|53.636955
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-21286|SOLR_PESQUISA_ORIGINAL_select|25|53.361214
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-33073|SOLR_PESQUISA_ORIGINAL_select|26|53.361214
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-32978|SOLR_PESQUISA_ORIGINAL_select|27|53.361214
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-33936|SOLR_PESQUISA_ORIGINAL_select|28|53.361214
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20871|SOLR_PESQUISA_ORIGINAL_select|29|52.923695
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20971|SOLR_PESQUISA_ORIGINAL_select|30|52.923695
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-21072|SOLR_PESQUISA_ORIGINAL_select|31|52.923695
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-31601|SOLR_PESQUISA_ORIGINAL_select|32|52.923695
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20584|SOLR_PESQUISA_ORIGINAL_select|33|52.907764
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-21207|SOLR_PESQUISA_ORIGINAL_select|34|52.907764
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-31669|SOLR_PESQUISA_ORIGINAL_select|35|52.907764
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-31526|SOLR_PESQUISA_ORIGINAL_select|36|52.907764
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-31593|SOLR_PESQUISA_ORIGINAL_select|37|52.907764
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-32994|SOLR_PESQUISA_ORIGINAL_select|38|52.907764
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-32977|SOLR_PESQUISA_ORIGINAL_select|39|52.907764
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-33918|SOLR_PESQUISA_ORIGINAL_select|40|52.907764
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-33937|SOLR_PESQUISA_ORIGINAL_select|41|52.907764
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-34125|SOLR_PESQUISA_ORIGINAL_select|42|52.907764
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-34134|SOLR_PESQUISA_ORIGINAL_select|43|52.907764
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-34211|SOLR_PESQUISA_ORIGINAL_select|44|52.907764
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-34230|SOLR_PESQUISA_ORIGINAL_select|45|52.907764
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-85539|SOLR_PESQUISA_ORIGINAL_select|46|52.474224
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-31594|SOLR_PESQUISA_ORIGINAL_select|47|52.474224
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-31691|SOLR_PESQUISA_ORIGINAL_select|48|52.059303
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-33114|SOLR_PESQUISA_ORIGINAL_select|49|52.059303
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-34154|SOLR_PESQUISA_ORIGINAL_select|50|52.059303
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-34240|SOLR_PESQUISA_ORIGINAL_selectSwan|1|14950.762
